user,task,attempt,start_time,text_system,text_user,asr_hypothesis,speaker,rating,asr_confidence,asr_time,barge-in,n_sys_words,n_user_words,sysTurnDuration,userTurnDuration,system_speech_act,WER,WER_moved,num_turns,num_sorry,mean_WER,mean_asr_conf,sum_barge,mean_sys_words,SSA_sorry,SSA_info,SSA_confirm
9,1,1,0,"#NS Herzlich Willkommen beim Kundenservice der Telekom, Schön dass Sie unser Kunde sind, Dieser Anruf ist kostenfrei, Sie können bei mir wie bei einem Kundenberater Ihre Tarifeinstellungen ändern und sich informieren, Sie steuern mich indem Sie mit mir sprechen, Wenn Sie wollen unterbrechen Sie mich einfach, Bitte nennen Sie mir jetzt Ihr Anliegen,",,,s,,,,0,53,,23,,ASKFORINFO WELCOME NAV,,,,,,,,,0,0,0
9,1,1,23,,"Bonuspunkte,",bonus punkten,u,,74,26,0,,1,,2,,0.5,,,,,,,,,,
9,1,1,26,"Sie sind für Xtra-Bonus registriert, Ihr aktueller Punktestand neununddreißig Komma fünf, Bitte sagen Sie mir noch was Sie tun möchten, Sie haben jetzt folgende Möglichkeiten, Sie können sich von unserem Bonusprogramm Xtra-Bonus abmelden",,,s,,,,0,33,,16,,INFO ASKFORINFO,,0.5,3,0,0.5,74,0,43,0,1,0
10,1,1,0,"#NS Herzlich Willkommen beim Kundenservice der Telekom, Schön dass Sie unser Kunde sind, Dieser Anruf ist kostenfrei, Sie können bei mir wie bei einem Kundenberater Ihre Tarifeinstellungen ändern und sich informieren, Sie steuern mich indem Sie mit mir sprechen, Wenn Sie wollen unterbrechen Sie mich einfach, Bitte nennen Sie mir jetzt Ihr Anliegen,",,,s,,,,0,53,,23,,ASKFORINFO WELCOME NAV,,,,,,,,,0,0,0
10,1,1,23,,"Ähm ich hätte gerne eine Information über das Bonuspunkteprogramm,",na ich hatte gerne information unseres bonus punkte programmen,u,,58,29,0,,9,,5,,0.3636363636,,,,,,,,,,
10,1,1,30,"Sie sind für Xtra-Bonus registriert, Ihr aktueller Punktestand neununddreißig Komma fünf, Günstige Handys gibt es auch für Xtra-Kunden, Melden Sie sich hier bei mir für Xtra-Bonus an und sparen Sie gleich beim nächsten Handykauf richtig Geld,",,,s,,,,0,36,,15,,INFO,,0.3636363636,3,0,0.3636363636,58,0,44.5,0,1,0
11,1,1,0,"#NS Herzlich Willkommen beim Kundenservice der Telekom, Schön dass Sie unser Kunde sind, Dieser Anruf ist kostenfrei, Sie können bei mir wie bei einem Kundenberater Ihre Tarifeinstellungen ändern und sich informieren, Sie steuern mich indem Sie mit mir sprechen, Wenn Sie wollen unterbrechen Sie mich einfach, Bitte nennen Sie mir jetzt Ihr Anliegen,",,,s,,,,0,53,,22,,ASKFORINFO WELCOME NAV,,,,,,,,,0,0,0
11,1,1,22,,Wieviel Bonuspunkte habe ich?,welche bonus punkte habe ich,u,,64,27,0,,4,,3,,0,,,,,,,,,,
11,1,1,28,"Sie sind für Xtra-Bonus registriert, Ihr aktueller Punktestand neununddreißig Komma fünf, Okay jetzt brauchen Sie mir nur zu sagen was Sie tun möchten, Also zum Beispiel ich möchte meinen Tarif wechseln oder ich möchte Informationen zu Xtra Roaming anhören,",,,s,,,,0,39,,20,,INFO ASKFORINFO ASKCONFIRM,,0,,,,,,,0,1,1
11,1,1,48,,"Auflegen, Bin fertig, #BG",,u,,0,,0,,4,,7,,0.75,,4,0,0,32,0,46,,,
12,1,2,0,"#NS Herzlich willkommen beim Kundenservice der Telekom, Schön dass Sie unser Kunde sind, Dieser Anruf ist kostenfrei, Sie können bei mir wie bei einem Kundenberater Ihre Tarifeinstellungen ändern und sich informieren, Sie steuern mich indem Sie mit mir sprechen, Wenn Sie wollen unterbrechen Sie mich einfach, Bitte nennen Sie mir jetzt Ihr Anliegen,",,,s,,,,0,53,,23,,ASKFORINFO WELCOME NAV,,,,,,,,,0,0,0
12,1,2,23,,Wie viele Punkte habe ich?,,u,,0,,0,,5,,1,,0.8,,,,,,,,,,
12,1,2,28,"Entschuldigung ich konnte Sie leider nicht verstehen, Am besten nennen Sie mir ein Stichwort oder einen kurzen Satz, Bitte wiederholen Sie Ihr Anliegen,",,,s,4,,,0,23,,9,,SORRY ASKFORINFO,,0.8,3,1,0.8,0,0,38,1,0,0
12,1,2,37,,"Wie viele Punkte,",,u,4,0,,0,,3,,2,,0.6666666667,,1,0,,0,0,,,,
12,1,2,42,"Es tut mir leid, Ich kann Ihr Anliegen immer noch nicht zuordnen, Bitte sagen Sie entweder einen Satz zum Beispiel ich möchte Informationen über die Tarife oder ein Stichwort zum Beispiel Übersicht Information Bedienungshinweise Änderungen oder sagen Sie Kundenberater,",,,s,,,,0,39,,22,,SORRY,,0.6666666667,,,,,,,1,0,0
12,1,2,64,Ich hab-,"Punkte,",,u s,,0,,1,2,1,2,2,,0,,,,,,,,,,
12,1,2,69,"Ihr Wunsch kann leider nicht im Sprachportal behandelt werden, Ich verbinde Sie dazu gern mit einem unserer Kundenberater, Das ist kostenpflichtig, Es werden Ihnen neun Cent berechnet, Nach der ersten Minute wird dann sekundengenau abgerechnet, Möchten Sie dass ich Sie jetzt verbinde?",,,s,,,,0,42,,16,,NAV,,0,,,,,,,0,0,0
12,1,2,85,,"Nein,",nein,u,,83,87,0,,1,,1,,0,,,,,,,,,,
12,1,2,87,"#NS Sie befinden sich nun wieder am Start, Was kann ich noch für Sie tun?",,,s,,,,0,15,,7,,ASKFORINFO NAV,,0,,,,,,,0,0,0
12,1,2,94,,"Ich möchte gerne wissen wie viele Punkte ich habe,",,u,,0,,0,,9,,4,,0.8888888889,,,,,,,,,,
12,1,2,99,"Entschuldigung ich konnte Sie leider nicht verstehen, Am besten nennen Sie mir ein Stichwort oder einen kurzen Satz,",,,s,3,,,0,18,,7,,SORRY ASKFORINFO,,0.8888888889,7,2,0.3888888889,27.6666666667,1,23.2,1,0,0
12,1,2,106,Bitte wiederholen Si-,"Bonuspunkte,",bonus punkte,s u,3,78,109,1,3,1,2,2,,0,,1,0,,78,1,3,,,
12,1,2,109,"Sie sind für Xtra-Bonus registriert, Ihr aktueller Punktestand neununddreißig Komma fünf, Bitte sagen Sie mir noch was Sie tun möchten, Sie haben jetzt folgende Möglichkeiten, Sie können sich von unserem Bonusprogramm Xtra-Bonus abmelden oder Informationen zu diesem Thema anhören, Was möchten Sie tun? Sie gelangen wieder an den Start des Sprachportals wenn Sie Hauptmen-",,,s,,,,0,54,,25,,INFO ASKFORINFO NAV,,0,1,0,0,,0,54,0,1,0
13,1,2,0,"#NS Herzlich Willkommen beim Kundenservice der Telekom, Schön dass Sie unser Kunde sind, Dieser Anruf ist kostenfrei, Sie können bei mir wie bei einem Kundenberater Ihre Tarifeinstellungen ändern und sich informieren, Sie steuern mich indem Sie mit mir sprechen, Wenn Sie wollen unterbrechen Sie mich einfach, Bitte nennen Sie mir jetzt Ihr Anliegen,",,,s,,,,0,53,,24,,ASKFORINFO WELCOME NAV,,,,,,,,,0,0,0
13,1,2,24,,"Äh Bonuspunktestand,",,u,,0,,0,,2,,3,,0.6666666667,,,,,,,,,,
13,1,2,29,"Sie sind für Xtra-Bonus registriert, Ihr aktueller Punktestand neununddreißig Komma fünf, Okay",,,s,,,,0,12,,10,,INFO,,0.6666666667,,,,,,,0,1,0
13,1,2,39,Jetzt brauchen Sie mir nur zu,Soll ich,,s u,,0,,1,6,2,2,2,,0.5,,,,,,,,,,
13,1,2,41,,"Jetzt hat sie mir das ja auch gesagt, Neununddreißig Punkt fünf, #BG",,u,,0,,0,,12,,5,,0.9166666667,0.5,5,0,0.5833333333,0,1,23.6666666667,,,
